Stage number;Healthy human number;Infected human number;Medical human number;Cure number;New recovered number;New infected number
0;200;5;20;20;0;0
1;200;5;20;20;1;1
2;199;6;20;20;0;1
3;200;5;20;19;2;1
4;200;5;20;19;0;0
5;200;5;20;19;0;0
6;198;7;20;19;0;2
7;200;5;20;19;2;0
8;201;4;20;18;1;0
9;201;4;20;18;0;0
10;201;4;20;18;0;0
11;201;4;20;18;0;0
12;202;3;20;17;1;0
13;202;3;20;17;1;1
14;201;4;20;17;0;1
15;201;4;20;17;0;0
16;200;5;20;17;0;1
17;200;5;20;17;0;0
18;199;6;20;17;0;1
19;199;6;20;17;0;0
20;198;7;20;17;0;1
21;198;7;20;17;0;0
22;199;6;20;16;1;0
23;199;6;20;16;0;0
24;198;7;20;16;0;1
25;199;6;20;15;1;0
26;199;6;20;15;0;0
27;199;6;20;15;0;0
28;199;6;20;15;0;0
29;197;8;20;15;0;2
30;198;7;20;15;1;0
31;198;7;20;15;0;0
32;197;8;20;15;0;1
33;195;10;20;15;0;2
34;194;11;20;15;0;1
35;191;14;20;15;0;3
36;190;15;20;15;0;1
37;189;16;20;15;0;1
38;188;17;20;15;0;1
39;187;18;20;15;1;2
40;186;19;20;15;1;2
41;186;19;20;15;0;0
42;181;24;20;15;0;5
43;179;26;20;15;0;2
44;178;27;20;15;1;2
45;178;27;20;15;0;0
46;174;31;20;15;0;4
47;177;28;20;13;3;0
48;176;29;20;13;2;3
49;175;30;20;13;0;1
50;172;33;20;13;1;4
51;170;35;20;13;1;3
52;169;36;20;13;0;1
53;168;37;20;13;1;2
54;169;36;20;13;3;2
55;170;35;20;12;2;1
56;171;34;20;12;2;1
57;168;37;20;12;0;3
58;167;38;20;12;0;1
59;167;38;20;11;3;3
60;164;41;20;11;1;4
61;164;41;20;11;2;2
62;164;41;20;11;1;1
63;163;42;20;10;2;3
64;163;42;20;10;0;0
65;161;44;20;10;1;3
66;161;44;20;10;3;3
67;158;47;20;10;1;4
68;158;47;20;10;2;2
69;156;49;20;10;1;3
70;154;51;20;10;2;4
71;153;52;20;10;0;1
72;155;50;20;10;3;1
73;154;51;20;10;2;3
74;153;52;20;10;1;2
75;150;55;20;10;1;4
76;148;57;20;10;1;3
77;143;62;20;10;1;6
78;143;62;20;9;1;1
79;143;62;20;9;4;4
80;141;64;20;9;3;5
81;139;66;20;9;4;6
82;140;65;20;9;4;3
83;137;68;20;9;2;5
84;138;67;20;8;2;1
85;135;70;20;8;1;4
86;137;68;20;7;5;3
87;137;68;20;7;3;3
88;132;73;20;7;0;5
89;133;72;20;7;3;2
90;132;73;20;6;2;3
91;128;77;20;6;1;5
92;127;78;20;5;2;3
93;130;75;20;5;3;0
94;127;78;20;5;1;4
95;128;77;20;5;2;1
96;125;80;20;5;1;4
97;125;80;20;5;2;2
98;122;83;20;5;1;4
99;122;83;20;5;2;2
100;119;86;20;5;0;3
