Stage number;Healthy human number;Infected human number;Medical human number;Cure number;New recovered number;New infected number
0;200;5;20;20;0;0
1;199;6;20;20;0;1
2;199;6;20;19;1;1
3;198;7;20;18;1;2
4;197;8;20;18;0;1
5;199;6;20;17;2;0
6;198;7;20;17;0;1
7;196;9;20;17;0;2
8;195;10;20;17;0;1
9;195;10;20;17;0;0
10;194;11;20;17;0;1
11;191;14;20;17;0;3
12;190;15;20;17;0;1
13;190;15;20;17;0;0
14;190;15;20;17;0;0
15;190;15;20;17;0;0
16;190;15;20;17;0;0
17;188;17;20;16;1;3
18;185;20;20;16;0;3
19;185;20;20;16;0;0
20;187;18;20;15;2;0
21;184;21;20;15;0;3
22;183;22;20;15;0;1
23;183;22;20;15;1;1
24;182;23;20;15;2;3
25;182;23;20;15;1;1
26;181;24;20;15;0;1
27;184;21;20;15;3;0
28;182;23;20;14;1;3
29;179;26;20;14;0;3
30;180;25;20;13;1;0
31;180;25;20;13;1;1
32;177;28;20;13;0;3
33;173;32;20;13;0;4
34;173;32;20;13;1;1
35;171;34;20;13;0;2
36;170;35;20;13;1;2
37;169;36;20;13;1;2
38;172;33;20;13;3;0
39;171;34;20;13;1;2
40;171;34;20;13;1;1
41;172;33;20;13;2;1
42;173;32;20;13;2;1
43;171;34;20;13;0;2
44;173;32;20;13;2;0
45;171;34;20;13;1;3
46;169;36;20;13;0;2
47;169;36;20;13;0;0
48;166;39;20;13;1;4
49;165;40;20;13;0;1
50;165;40;20;13;0;0
51;165;40;20;13;0;0
52;164;41;20;13;0;1
53;167;38;20;13;4;1
54;166;39;20;13;0;1
55;165;40;20;13;0;1
56;161;44;20;13;0;4
57;160;45;20;12;2;3
58;158;47;20;12;1;3
59;158;47;20;12;0;0
60;157;48;20;12;1;2
61;159;46;20;12;2;0
62;157;48;20;12;1;3
63;156;49;20;12;0;1
64;154;51;20;12;3;5
65;153;52;20;12;1;2
66;153;52;20;12;1;1
67;153;52;20;12;3;3
68;152;53;20;12;2;3
69;153;52;20;12;2;1
70;154;51;20;12;1;0
71;152;53;20;12;1;3
72;152;53;20;12;3;3
73;153;52;20;12;1;0
74;152;53;20;12;2;3
75;148;57;20;12;1;5
76;144;61;20;12;0;4
77;142;63;20;12;0;2
78;144;61;20;12;2;0
79;141;64;20;12;1;4
80;139;66;20;11;4;6
81;134;71;20;11;0;5
82;133;72;20;11;1;2
83;134;71;20;10;3;2
84;133;72;20;10;0;1
85;128;77;20;10;2;7
86;128;77;20;10;1;1
87;129;76;20;10;2;1
88;130;75;20;10;3;2
89;133;72;20;10;5;2
90;130;75;20;10;3;6
91;128;77;20;10;1;3
92;127;78;20;10;3;4
93;127;78;20;10;2;2
94;125;80;20;10;1;3
95;123;82;20;10;1;3
96;123;82;20;10;1;1
97;123;82;20;10;1;1
98;126;79;20;10;4;1
99;124;81;20;10;1;3
100;124;81;20;10;3;3
