Stage number;HealthyObject number;InfectedObject number;MedicalObject number;CureObject number;New recovered number;New infected number
0;200;5;20;20;0;0
1;202;3;20;18;2;0
2;202;3;20;18;0;0
3;203;2;20;18;1;0
4;202;3;20;18;0;1
5;201;4;20;18;0;1
6;200;5;20;18;0;1
7;200;5;20;18;0;0
8;200;5;20;18;0;0
9;199;6;20;18;0;1
10;200;5;20;18;1;0
11;200;5;20;17;1;1
12;202;3;20;17;2;0
13;202;3;20;17;0;0
14;201;4;20;17;0;1
15;202;3;20;17;1;0
16;201;4;20;17;0;1
17;201;4;20;17;0;0
18;199;6;20;17;0;2
19;198;7;20;17;0;1
20;198;7;20;17;0;0
21;198;7;20;17;0;0
22;198;7;20;17;0;0
23;197;8;20;17;0;1
24;197;8;20;17;0;0
25;197;8;20;17;0;0
26;194;11;20;17;0;3
27;193;12;20;17;0;1
28;193;12;20;17;0;0
29;191;14;20;17;0;2
30;189;16;20;17;0;2
31;190;15;20;17;1;0
32;190;15;20;17;0;0
33;190;15;20;17;0;0
34;187;18;20;17;0;3
35;187;18;20;17;0;0
36;185;20;20;17;0;2
37;179;26;20;17;0;6
38;180;25;20;16;1;0
39;178;27;20;16;0;2
40;177;28;20;16;0;1
41;175;30;20;16;0;2
42;175;30;20;16;0;0
43;174;31;20;15;1;2
44;172;33;20;15;0;2
45;170;35;20;15;0;2
46;170;35;20;15;0;0
47;170;35;20;15;0;0
48;170;35;20;15;0;0
49;170;35;20;15;0;0
50;170;35;20;15;0;0
51;171;34;20;15;1;0
52;171;34;20;15;0;0
53;172;33;20;15;2;1
54;173;32;20;15;1;0
55;172;33;20;15;0;1
56;170;35;20;15;1;3
57;169;36;20;15;0;1
58;165;40;20;15;0;4
59;164;41;20;15;1;2
60;163;42;20;15;0;1
61;162;43;20;15;0;1
62;161;44;20;15;1;2
63;160;45;20;15;0;1
64;159;46;20;15;0;1
65;156;49;20;15;0;3
66;155;50;20;15;3;4
67;156;49;20;15;1;0
68;154;51;20;15;1;3
69;154;51;20;15;0;0
70;155;50;20;15;1;0
71;153;52;20;15;0;2
72;152;53;20;14;2;3
73;152;53;20;14;2;2
74;150;55;20;14;2;4
75;150;55;20;14;2;2
76;151;54;20;14;3;2
77;150;55;20;14;1;2
78;147;58;20;14;2;5
79;145;60;20;14;1;3
80;138;67;20;14;1;8
81;140;65;20;14;4;2
82;143;62;20;12;3;0
83;143;62;20;12;1;1
84;141;64;20;12;1;3
85;136;69;20;12;0;5
86;133;72;20;12;1;4
87;131;74;20;12;1;3
88;134;71;20;12;4;1
89;129;76;20;11;1;6
90;129;76;20;11;1;1
91;129;76;20;11;3;3
92;124;81;20;11;0;5
93;124;81;20;11;3;3
94;119;86;20;11;1;6
95;117;88;20;10;2;4
96;117;88;20;10;2;2
97;114;91;20;10;1;4
98;118;87;20;9;9;5
99;116;89;20;9;2;4
100;116;89;20;9;5;5
